adm1id,admname,category,catid,cmid,cmname,cmnameshort,country,currency,date,default,interpolated,label,mktid,mktname,price,ptid,scaling,sn,umid,unit,x,year
#adm1+code,#adm1+name,#item+type,#item+type+code,#item+code,#item+name,#item+name+short,#country+name,#currency,#date,,,#item+label,,#name+market,#value,,,#meta+id,,#item+unit,,0
2748,,cereals and tubers,1,68,Cassava - Retail,Cassava,South Sudan,SSP,12/15/2019,,0,Cassava - Retail (3.5 KG),1388,Konyo Konyo,500,15,1,1388_68_15_47,47,3.5 KG,1576368000,2019
2750,,cereals and tubers,1,68,Cassava - Retail,Cassava,South Sudan,SSP,1/15/2020,,0,Cassava - Retail (3.5 KG),1786,Torit,400,15,1,1786_68_15_47,47,3.5 KG,1579046400,2020
2750,,cereals and tubers,1,68,Cassava - Retail,Cassava,South Sudan,SSP,2/15/2020,,0,Cassava - Retail (3.5 KG),1786,Torit,400,15,1,1786_68_15_47,47,3.5 KG,1581724800,2020
2750,,cereals and tubers,1,68,Cassava - Retail,Cassava,South Sudan,SSP,3/15/2020,,0,Cassava - Retail (3.5 KG),1786,Torit,400,15,1,1786_68_15_47,47,3.5 KG,1584230400,2020
2750,,pulses and nuts,5,119,Groundnuts (shelled) - Retail,Groundnuts shelled,South Sudan,SSP,1/15/2015,,0,Groundnuts (shelled) - Retail (KG),1786,Torit,8,15,1,1786_119_15_5,5,KG,1421280000,2015
2750,,pulses and nuts,5,119,Groundnuts (shelled) - Retail,Groundnuts shelled,South Sudan,SSP,2/15/2015,,0,Groundnuts (shelled) - Retail (KG),1786,Torit,8,15,1,1786_119_15_5,5,KG,1423958400,2015
2766,,pulses and nuts,5,119,Groundnuts (shelled) - Retail,Groundnuts shelled,South Sudan,SSP,3/15/2015,,0,Groundnuts (shelled) - Retail (KG),1391,Jau,9.5,15,1,1391_119_15_5,5,KG,1426377600,2015
2754,,pulses and nuts,5,119,Groundnuts (shelled) - Retail,Groundnuts shelled,South Sudan,SSP,4/15/2015,,0,Groundnuts (shelled) - Retail (KG),1384,Aweil (Town),11.5,15,1,1384_119_15_5,5,KG,1429056000,2015
2748,,pulses and nuts,5,119,Groundnuts (shelled) - Retail,Groundnuts shelled,South Sudan,SSP,5/15/2015,,0,Groundnuts (shelled) - Retail (KG),1388,Konyo Konyo,19,15,1,1388_119_15_5,5,KG,1431648000,2015
2751,,pulses and nuts,5,119,Groundnuts (shelled) - Retail,Groundnuts shelled,South Sudan,SSP,6/15/2015,,0,Groundnuts (shelled) - Retail (KG),1386,Bor,23,15,1,1386_119_15_5,5,KG,1434326400,2015
2748,,pulses and nuts,5,119,Groundnuts (shelled) - Retail,Groundnuts shelled,South Sudan,SSP,7/15/2015,,0,Groundnuts (shelled) - Retail (KG),1388,Konyo Konyo,23,15,1,1388_119_15_5,5,KG,1436918400,2015
