state,ea,weight,hh,hhsize,index,own_pre,owntotal_pre,yearp,vintage,price_pre,curr_pre,conv2ssp,own_post,owntotal_post,price_post,curr_post,drate,drate_median,cons_d,cons_d_weekly,cons_d_daily,cons_d_daily_pc
"Northern Bahr El Ghazal",3,65.70428,8,10,"Mattress or bed","Yes",6,2013,3,850,"SSP",4.27,"Yes",6,850,"SSP",.00497512,.0959599,297.045,5.692854,.8132648,.0813265
"Northern Bahr El Ghazal",3,65.70428,8,10,"Hoe, spade or axe","Yes",5,2014,2,50,"SSP",4.66,"Yes",5,50,"SSP",.00497512,.1229538,33.33402,.6388451,.0912636,.0091264
"Northern Bahr El Ghazal",3,65.70428,9,5,"Mosquito net",,,2014,2,25,,,"Yes",3,20,,.1100227,.1100227,10.72805,.2056026,.0293718,.0058744
"Northern Bahr El Ghazal",3,65.70428,9,5,"Motorcycle/motor",,,2014,2,3500,,,"Yes",1,3800,,.12206381,.1220638,740.532,14.19226,2.027466,.4054932
"Northern Bahr El Ghazal",3,65.70428,9,5,"Mattress or bed",,,2013,3,200,,,"Yes",2,200,,.00497512,.0959599,64.22594,1.230887,.175841,.0351682
"Northern Bahr El Ghazal",3,65.70428,9,5,"Cars",,0,2015,1,23000,,,"Yes",1,19500,,.15639195,.0452039,1934.24,37.06963,5.295661,1.059132
"Northern Bahr El Ghazal",3,65.70428,9,5,"Hoe, spade or axe",,,,2,30,,,"Yes",1,30,,.00497512,.1229538,5.882475,.1127374,.0161053,.0032211
"Northern Bahr El Ghazal",3,65.70428,10,5,"Mattress or bed",,,,3,200,,,"Yes",2,200,,.00497512,.0959599,64.22594,1.230887,.175841,.0351682
"Northern Bahr El Ghazal",3,65.70428,10,5,"Mobile phone",,,,2,150,,,"Yes",1,90,,.22925705,.2133638,29.94145,.5738266,.0819752,.016395
"Northern Bahr El Ghazal",3,65.70428,10,5,"Radio or transistor",,,2015,1,100,,,"Yes",1,100,,.00497512,.1715889,26.58818,.5095613,.0727945,.0145589
"Northern Bahr El Ghazal",3,65.70428,11,7,"Mattress or bed",,0,2015,1,100,"SSP",9.91,"Yes",2,250,"SSP",.0959599,.0959599,80.28243,1.538609,.2198013,.0314002
"Northern Bahr El Ghazal",3,65.70428,11,7,"Mobile phone",,,2015,1,105,"SSP",9.91,"Yes",2,100.5,,.04761905,.2133638,66.86925,1.281546,.183078,.026154
"Northern Bahr El Ghazal",3,65.70428,11,7,"Mosquito net",,0,2015,1,35,"SSP",9.91,"Yes",1,35,"SSP",.00497512,.1100227,6.258029,.1199349,.0171336,.0024477
"Northern Bahr El Ghazal",3,65.70428,11,7,"Hoe, spade or axe","Yes",1,2015,1,40,"SSP",9.91,"Yes",2,30,,.25373134,.1229538,11.76495,.2254747,.0322107,.0046015
"Northern Bahr El Ghazal",4,304.6609,1,14,"Mattress or bed",,,2013,3,480,"SSP",4.27,"Yes",4,200,,.25681513,.0959599,128.4519,2.461775,.3516821,.0251202
"Northern Bahr El Ghazal",4,304.6609,2,5,"Hoe, spade or axe","Yes",2,2011,5,25,,,"Yes",2,37.5,,.12295382,.1229538,14.70619,.2818434,.0402633,.0080527
"Northern Bahr El Ghazal",4,304.6609,2,5,"Mobile phone","Yes",2,2015,1,150,,,"Yes",1,100.5,,.33333333,.2133638,33.43462,.6407731,.091539,.0183078
"Northern Bahr El Ghazal",4,304.6609,2,5,"Mosquito net","Yes",2,2014,2,30,,,"Yes",2,20,,.18756559,.1100227,7.152034,.1370684,.0195812,.0039162
"Northern Bahr El Ghazal",4,304.6609,2,5,"Mattress or bed","Yes",2,,3,300,"SSP",,"Yes",2,200,,.13076571,.0959599,64.22594,1.230887,.175841,.0351682
"Northern Bahr El Ghazal",4,304.6609,3,5,"Hoe, spade or axe","Yes",1,2014,2,15,"SSP",4.66,"Yes",1,5,"SSP",.42552212,.1229538,.9804125,.0187896,.0026842,.0005368
