state,ea,hh,weight,hhweight,year,plinePPP,poor,tc_imp,wave,accesibility,night_lights,population
NORTHERN BAHR EL GHAZAL,33,5,41.49520493,290.4664307,2016,8.712560654,1,7.56071806,2,7,0.077638641,109.5
NORTHERN BAHR EL GHAZAL,33,6,41.49520493,373.4568481,2015,8.712560654,0,12.96364307,1,7,0.077638641,80.5
NORTHERN BAHR EL GHAZAL,33,6,41.49520493,497.9424438,2016,8.712560654,1,0.875319719,2,7,0.077638641,109.5
NORTHERN BAHR EL GHAZAL,33,7,41.49520493,248.9712219,2016,8.712560654,1,5.428161144,2,7,0.077638641,109.5
NORTHERN BAHR EL GHAZAL,33,7,41.49520493,373.4568481,2015,8.712560654,1,3.735468626,1,7,0.077638641,80.5
NORTHERN BAHR EL GHAZAL,33,8,41.49520493,82.99040985,2016,8.712560654,0,76.15370178,2,7,0.077638641,109.5
NORTHERN BAHR EL GHAZAL,33,8,41.49520493,82.99040985,2015,8.712560654,0,32.1178627,1,7,0.077638641,80.5
NORTHERN BAHR EL GHAZAL,33,9,41.49520493,207.4760284,2015,8.712560654,0,13.20638847,1,7,0.077638641,80.5
NORTHERN BAHR EL GHAZAL,33,10,41.49520493,207.4760284,2015,8.712560654,1,3.456634998,1,7,0.077638641,80.5
NORTHERN BAHR EL GHAZAL,33,10,41.49520493,290.4664307,2016,8.712560654,1,2.015051365,2,7,0.077638641,109.5
NORTHERN BAHR EL GHAZAL,33,11,41.49520493,497.9424438,2015,8.712560654,1,4.827188492,1,7,0.077638641,80.5
NORTHERN BAHR EL GHAZAL,33,11,41.49520493,290.4664307,2016,8.712560654,1,2.545999289,2,7,0.077638641,109.5
NORTHERN BAHR EL GHAZAL,33,12,41.49520493,290.4664307,2015,8.712560654,0,33.34900284,1,7,0.077638641,80.5
NORTHERN BAHR EL GHAZAL,33,12,41.49520493,331.9616394,2016,8.712560654,0,20.6704731,2,7,0.077638641,109.5
NORTHERN BAHR EL GHAZAL,33,13,33.05094147,165.2546997,2016,8.712560654,0,11.2789011,2,7,0.077638641,109.5
NORTHERN BAHR EL GHAZAL,34,1,114.1489792,799.0428467,2016,8.712560654,1,3.537713289,2,7,0.07081423,99
NORTHERN BAHR EL GHAZAL,34,1,114.1489792,684.8938599,2015,8.712560654,0,14.18004704,1,8,0.068700478,79
NORTHERN BAHR EL GHAZAL,34,2,114.1489792,1255.638794,2015,8.712560654,1,4.470784187,1,8,0.068700478,79
NORTHERN BAHR EL GHAZAL,34,2,114.1489792,1598.085693,2016,8.712560654,1,7.308876991,2,7,0.07081423,99
NORTHERN BAHR EL GHAZAL,34,3,114.1489792,684.8938599,2015,8.712560654,0,17.08102226,1,8,0.068700478,79
NORTHERN BAHR EL GHAZAL,34,3,114.1489792,684.8938599,2016,8.712560654,1,7.206681728,2,7,0.07081423,99
NORTHERN BAHR EL GHAZAL,34,4,114.1489792,799.0428467,2016,8.712560654,1,1.705339313,2,7,0.07081423,99
NORTHERN BAHR EL GHAZAL,34,4,114.1489792,684.8938599,2015,8.712560654,1,3.359055281,1,8,0.068700478,79
NORTHERN BAHR EL GHAZAL,34,5,114.1489792,799.0428467,2016,8.712560654,0,9.362785339,2,7,0.07081423,99
NORTHERN BAHR EL GHAZAL,34,5,114.1489792,1027.34082,2015,8.712560654,0,31.12328148,1,8,0.068700478,79
NORTHERN BAHR EL GHAZAL,34,6,114.1489792,456.5959167,2015,8.712560654,1,2.968971729,1,8,0.068700478,79
NORTHERN BAHR EL GHAZAL,34,6,114.1489792,456.5959167,2016,8.712560654,1,3.045992613,2,7,0.07081423,99
NORTHERN BAHR EL GHAZAL,34,7,114.1489792,684.8938599,2015,8.712560654,0,8.734539032,1,8,0.068700478,79
NORTHERN BAHR EL GHAZAL,34,7,114.1489792,799.0428467,2016,8.712560654,1,1.208193541,2,7,0.07081423,99
NORTHERN BAHR EL GHAZAL,34,8,114.1489792,684.8938599,2015,8.712560654,1,2.937105179,1,8,0.068700478,79
NORTHERN BAHR EL GHAZAL,34,8,114.1489792,456.5959167,2016,8.712560654,1,3.450308561,2,7,0.07081423,99
NORTHERN BAHR EL GHAZAL,34,9,114.1489792,684.8938599,2016,8.712560654,1,6.381357193,2,7,0.07081423,99
NORTHERN BAHR EL GHAZAL,34,9,114.1489792,684.8938599,2015,8.712560654,0,10.27044964,1,8,0.068700478,79
NORTHERN BAHR EL GHAZAL,34,10,114.1489792,1027.34082,2015,8.712560654,1,5.254723072,1,8,0.068700478,79
NORTHERN BAHR EL GHAZAL,34,10,114.1489792,456.5959167,2016,8.712560654,0,35.8738327,2,7,0.07081423,99
NORTHERN BAHR EL GHAZAL,34,11,114.1489792,1255.638794,2015,8.712560654,0,19.06266594,1,8,0.068700478,79
NORTHERN BAHR EL GHAZAL,34,11,114.1489792,1141.489746,2016,8.712560654,1,7.3116045,2,7,0.07081423,99
NORTHERN BAHR EL GHAZAL,34,12,114.1489792,684.8938599,2015,8.712560654,0,15.79296017,1,8,0.068700478,79
